Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
3999,1325378469721.405808,0,9.19999980926514,-0.20001220703125,3980.8,297.876953125,0.798863708972931
4000,1325378469731.365840,0,9.19999980926514,-0.20001220703125,3983.6,301.164520263672,-0.462499976158142
4001,1325378469741.326592,0,9.19999980926514,-0.20001220703125,3986.5,302.103820800781,0.378409117460251
4002,1325378469751.390768,0,9.19999980926514,-0.20001220703125,3989.4,302.925720214844,0
4003,1325378469761.391552,0,9.19999980926514,-0.20001220703125,3992.4,300.812286376953,0.252272725105286
4004,1325378469775.037712,0,8.80000019073486,0.300000011920929,3996.2,299.872985839844,0.756818234920502
4005,1325378469781.372992,0,8.80000019073486,0.300000011920929,3999.2,298.581420898438,-0.210227265954018
4006,1325378469791.327424,0,8.80000019073486,0.300000011920929,4002.1,298.581420898438,-0.210227265954018
4007,1325378469801.346448,0,8.80000019073486,0.300000011920929,4005.1,302.338653564453,-0.798863708972931
4008,1325378469811.346416,0,8.60000038146973,-0.20001220703125,4007.7,303.277954101563,1.47159099578857
4009,1325378469821.424296,0,8.60000038146973,-0.20001220703125,4010.6,299.285919189453,-0.210227265954018
4010,1325378469831.456152,0,8.5,-0.20001220703125,4013.6,301.986419677734,0.16818180680275
4011,1325378469841.355920,0,8.5,-0.20001220703125,4016.6,299.872985839844,1.17727279663086
4012,1325378469851.359328,0,8.39999961853027,-0.600006103515625,4019.6,299.990386962891,1.05113637447357
4013,1325378469861.391976,0,8.30000019073486,-0.600006103515625,4022.6,300.9296875,0.294318199157715
4014,1325378469874.990952,0,8.30000019073486,-0.600006103515625,4025.5,300.9296875,0.294318199157715
4015,1325378469881.375560,0,8.30000019073486,-0.600006103515625,4028.5,301.164520263672,-0.714772760868073
4016,1325378469891.457040,0,8.10000038146973,-0.20001220703125,4031.7,301.164520263672,-0.714772760868073
4017,1325378469901.374736,0,8,-0.20001220703125,4034.6,302.690887451172,0.252272725105286
